Country,industry_share_2000,industry_share_2024,manufacturing_share_2000,manufacturing_share_2024,industry_cagr,manufacturing_cagr,gdp_cagr
AUS,0.23557569036918655,0.20345678861307911,0.09072380612527488,0.05054557265393972,0.02109882324866308,0.002617502657609627,0.02735420849755643
BEL,0.2153853746919071,0.17687074183999443,0.14416948893971995,0.11233362047708223,0.007368196997154186,0.005166704990841042,0.01567144982874824
USA,,,,,,,0.02116862961874455
CAN,0.2725476925514506,0.22494026509453985,0.14911455476020782,0.08650198082439953,0.011027822708967738,-0.0037159848537190454,0.019147581783580447
MEX,0.3402733211932026,0.29019503028792076,0.22121813124068707,0.20035833932574454,0.008261733809148186,0.010792035546090206,0.014971930796842114
BRA,0.2223047442228015,0.17722879118134693,0.1365165685420395,0.09279553344320494,0.012982299232650707,0.00627503162010834,0.022592160395214167
DEU,0.2716592546049421,0.23254361021900702,0.18686779989356977,0.19331579934430076,0.003622415161032899,0.011573769823672642,0.01014493286486684
FRA,0.19828074843667393,0.1580643163616561,0.11336556692762866,0.09879123785530398,0.0028410951984148003,0.006569935903795399,0.012357882735058334
ITA,0.23842211919940853,0.21570497025712074,0.1554613405751354,0.14012817296362282,-0.0003839991967738987,-0.0005384464673078293,0.003795240694855595
DNK,0.25030258881809575,0.2545525090632755,0.1329967154328075,0.20722651850651486,0.014245910570793496,0.03243752470872119,0.013534641396767189
FIN,0.25594191989979137,0.21762933004791626,0.16722792322450455,0.14035363538003903,0.004097938312864091,0.0035527257258864964,0.010905149012683468
NLD,0.19943783498421797,0.17546598267931032,0.1038867234001714,0.11123396602198285,0.009375926154925995,0.01766953926925341,0.014776072151004627
GBR,0.2269908257890555,0.16404327915386893,0.09062305040242417,0.09270942553174986,0.0015060444728935973,0.016114236709880547,0.015151013125684898
ZAF,0.282628006195086,0.19978998403424736,0.14695194690856397,0.11215321030908394,0.0064380988797358984,0.009656500367379417,0.021089469050503018
CHN,0.36464030570165124,0.3770685074191826,,,0.08293059636433053,,0.08141936250127024
JPN,0.3113847283368395,,0.19606466101906098,,,,0.006034076639949815
